dish_id,dish_name,dish_size,unit,price,category,location
1,AïOLI BEEF TATAR 2.0,350,,45.99,Menu główne,Warszawa_Świętokrzyska
2,AïOLI VEGE TATAR,330,g,37.99,Menu główne,Warszawa_Świętokrzyska
3,SWEET POTATO CHIPS,125,g,29.99,Menu główne,Warszawa_Świętokrzyska
4,ROASTED CABBAGE,300,g,32.99,Menu główne,Warszawa_Świętokrzyska
5,TEMPURA CRISPY WINGS,450,g,39.99,Menu główne,Warszawa_Świętokrzyska
6,LOADED FRIES & BEEF BITES,225,g,42.99,Menu główne,Warszawa_Świętokrzyska
7,BLACK GARLIC SHRIMPS,220,g,52.99,Menu główne,Warszawa_Świętokrzyska
8,BUTTER WINE SHRIMPS,220,g,49.99,Menu główne,Warszawa_Świętokrzyska
9,KATAIFI SHRIMPS,230,g,52.99,Menu główne,Warszawa_Świętokrzyska
10,AïOLI SHARING MEAT,600,g,79.99,Menu główne,Warszawa_Świętokrzyska
11,AïOLI SHARING VEGE,540,g,59.99,Menu główne,Warszawa_Świętokrzyska
12,AïOLI SHARING SEAFOOD,570,g,129.99,Menu główne,Warszawa_Świętokrzyska
13,CREMA DI POMODORO,450,g,22.99,Menu główne,Warszawa_Świętokrzyska
14,ZUPA DNIA,450,ml,22.99,Menu główne,Warszawa_Świętokrzyska
15,AïOLI BURGER,520,g,49.99,Menu główne,Warszawa_Świętokrzyska
16,SMASH BURGER,310,g,46.99,Menu główne,Warszawa_Świętokrzyska
17,PHILLY CHEESESTEAK BURGER,600,g,59.99,Menu główne,Warszawa_Świętokrzyska
18,REUBEN SANDWICH,520,g,52.99,Menu główne,Warszawa_Świętokrzyska
19,KOREAN FRIED CHICKEN BURGER,550,g,47.99,Menu główne,Warszawa_Świętokrzyska
20,MARGHERITA,38,cm,34.99,Menu główne,Warszawa_Świętokrzyska
21,TARTUFO & SWEET POTATO CHIPS,38,cm,38.99,Menu główne,Warszawa_Świętokrzyska
22,BURRATA & COTTO,38,cm,48.99,Menu główne,Warszawa_Świętokrzyska
23,NDUJA & CARAMELIZED ONION,38,cm,52.99,Menu główne,Warszawa_Świętokrzyska
24,TARTUFO & COTTO BIANCA,38,cm,49.99,Menu główne,Warszawa_Świętokrzyska
25,SALAMI & CHILLI HONEY,38,cm,48.99,Menu główne,Warszawa_Świętokrzyska
26,KIMCHI PIZZA,38,cm,47.99,Menu główne,Warszawa_Świętokrzyska
