dish_id,calories,protein,fats,carbs,sugars,saturated_fats,salt,fiber,ingredients_number,dish_name,dish_size,unit,price,category,location,ingredients,energy (kJ),veg_fruit_percentage,nutriscore_points,nutriscore_grade
1,947.46,35.8,59.260000000000005,71.0,12.23,12.91,2.63,8.0,12,AïOLI BEEF TATAR 2.0,350,,45.99,Menu główne,Warszawa_Świętokrzyska,"rostbef, owoc kaparowca, cebula, ogórek kiszony, żółtko, sriracha, kiełki groszku, marynowane kurki, sos AïOLI truflowy, chleb na zakwasie, chipsy z batatów",226.45,34.29,21,E
2,827.85,10.169999999999998,53.120000000000005,80.11,15.620000000000001,5.84,2.88,9.68,9,AïOLI VEGE TATAR,330,g,37.99,Menu główne,Warszawa_Świętokrzyska,"pomidor, cebula, ogórek kiszony, kiełki groszku, kurki marynowane, sos AïOLI truflowy, chleb na zakwasie, chipsy z batatów",197.86,69.7,14,D
3,690.72,8.34,48.980000000000004,55.38,13.68,7.0,1.49,5.4,4,SWEET POTATO CHIPS,125,g,29.99,Menu główne,Warszawa_Świętokrzyska,"chipsy z batata, parmezan, sos AïOLI",165.09,72.0,10,C
4,300.45,6.37,22.419999999999998,19.44,10.53,6.13,11.04,6.33,7,ROASTED CABBAGE,300,g,32.99,Menu główne,Warszawa_Świętokrzyska,"grillowana kapusta, sambal, kremowy serek, oliwa bazyliowo – szczypiorkowa, granat, kiełki groszku",71.81,83.33,19,E
5,1466.04,53.410000000000004,122.61999999999999,33.68,1.71,21.41,6.62,2.34,11,TEMPURA CRISPY WINGS,450,g,39.99,Menu główne,Warszawa_Świętokrzyska,"skrzydełka z kurczaka w pikantnej tempurze, sos sambal, chili, szczypiorek, sezam, sos AïOLI",350.39,3.33,29,E
6,631.5,21.01,40.55,45.49,1.52,10.42,9.33,4.21,7,LOADED FRIES & BEEF BITES,225,g,42.99,Menu główne,Warszawa_Świętokrzyska,"plastry steka z rostbefu, sticksy, sos serowy, chimichurri, szczypiorek",150.93,57.33,25,E
7,493.25,27.8,26.53,33.85,2.88,10.92,2.13,2.25,9,BLACK GARLIC SHRIMPS,220,g,52.99,Menu główne,Warszawa_Świętokrzyska,"krewetki 6 szt., białe wino, masło, czarny czosnek, natka pietruszki, chili, cytryna, domowa focaccia AïOLI",117.89,11.36,18,D
8,493.16999999999996,27.830000000000002,26.53,33.85,1.9200000000000002,10.92,2.13,2.25,9,BUTTER WINE SHRIMPS,220,g,49.99,Menu główne,Warszawa_Świętokrzyska,"krewetki 6 szt., białe wino, masło, czosnek, natka pietruszki, chili, cytryna, domowa focaccia AïOLI",117.87,11.36,18,D
9,438.31,25.799999999999997,19.29,39.7,4.319999999999999,2.74,11.620000000000001,1.79,8,KATAIFI SHRIMPS,230,g,52.99,Menu główne,Warszawa_Świętokrzyska,"krewetki nobashi, ciasto kataifi, sos AïOLI sriracha, salsa mango, kolendra",104.76,11.74,22,E
10,1447.35,65.32,92.13,87.26,3.71,20.46,7.83,7.2299999999999995,18,AïOLI SHARING MEAT,600,g,79.99,Menu główne,Warszawa_Świętokrzyska,"set 3 tapasów: AïOLI BEEF TATAR 2.0, TEMPURA CRISPY WINGS, LOADED FRIES & BEEF BITES",345.92,25.83,27,E
11,1740.6399999999999,11.87,132.5,131.68,36.89,15.200000000000001,11.87,17.94,14,AïOLI SHARING VEGE,540,g,59.99,Menu główne,Warszawa_Świętokrzyska,"set 3 tapasów: ROASTED CABBAGE, AïOLI VEGE TATAR, SWEET POTATO CHIPS",416.02,85.93,31,E
12,1184.92,61.519999999999996,72.46000000000001,71.26,4.949999999999999,24.080000000000002,10.09,5.109999999999999,14,AïOLI SHARING SEAFOOD,570,g,129.99,Menu główne,Warszawa_Świętokrzyska,"set 3 tapasów: BUTTER WINE SHRIMPS, BLACK GARLIC SHRIMPS, KATAIFI SHRIMPS",283.2,8.6,27,E
13,375.02,6.71,27.21,27.28,14.049999999999999,7.85,5.19,5.32,7,CREMA DI POMODORO,450,g,22.99,Menu główne,Warszawa_Świętokrzyska,"krem z włoskich pomidorów pelati, sos z gorgonzoli, chipsy z cebuli",89.63,76.89,23,E
14,159.34,3.8899999999999997,8.91,16.48,4.09,1.2300000000000002,4.22,4.0,6,ZUPA DNIA,450,ml,22.99,Menu główne,Warszawa_Świętokrzyska,"zapytaj kelnera, jaką zupę przygotował dzisiaj Szef Kuchni",38.08,27.11,19,E
15,1420.43,56.44,81.07,119.67999999999999,7.970000000000001,21.3,8.51,9.89,12,AïOLI BURGER,520,g,49.99,Menu główne,Warszawa_Świętokrzyska,"bułka pszenna, wołowina 100%, sałata, pomidor, ser cheddar, bekon, ogórek piklowany, cebula karmelizowana, frytki, sos AïOLI, colesław",339.49,51.35,26,E
